# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    mod0 IS NOT NULL AND vgsr IS NOT NULL
# Display the fields:              objname, mod0, vgsr
# Order by:                        mod0
# Description of each column
# objname: ------------- <NA>
#  mod0: --------------- <NA>
#  vgsr: --------------- <NA>
#-------,-----,-----
objname, mod0, vgsr
NGC4621,30.843,389.1
NGC2950,30.847,1397.1
NGC0864,30.85,1605.4
NGC0428,30.85,1224.2
NGC1249,30.854,928
NGC4660,30.855,1045.5
NGC4111,30.857,824
UGC08041,30.857,1243.4
PGC029086,30.86,495.4
NGC4350,30.86,1204.3
NGC5054,30.864,1629.6
IC3032,30.866,1122.5
NGC5645,30.868,1370.8
NGC4535,30.873,1897.5
ESO219-021,30.876,1195
NGC4203,30.877,1080.8
PGC041965,30.88,875.3
ESO434-034,30.88,778.6
UGC07218,30.88,831.1
NGC3056,30.884,758.1
NGC4531,30.887,58.3
NGC7361,30.889,1285
NGC4534,30.89,843.9
NGC4413,30.891,41.7
NGC3810,30.892,911.2
NGC3928,30.895,1029.5
NGC1596,30.897,1335.4
NGC4442,30.898,469.1
PGC053134,30.9,1939.6
ESO317-046,30.9,745.3
NGC1495,30.9,1128.5
NGC4473,30.901,2302.8
NGC1232,30.908,1540.4
IC3468,30.909,1241.3
NGC4409,30.911,1561
NGC4489,30.915,901.4
NGC4150,30.918,237.4
ESO054-021,30.918,1256.4
NGC4262,30.919,1316.7
ESO502-016,30.92,1317
NGC4550,30.921,359
IC3653,30.925,506.8
NGC4742,30.927,1161.7
NGC4526,30.928,510.7
NGC4474,30.929,1561.9
NGC2525,30.93,1397.9
PGC041959,30.933,232
NGC6207,30.936,1011.5
NGC4205,30.94,1549.4
NGC0988,30.94,1491.3
UGC07354,30.94,1440.9
NGC1084,30.946,1406.2
UGC06526,30.95,1853.9
UGC06992,30.95,808.1
NGC4294,30.955,278.5
NGC4283,30.957,986.9
NGC1436,30.957,1264
IC0779,30.96,220.3
PGC066548,30.96,1154.8
UGC09169,30.96,1278.2
UGC03273,30.96,700.1
UGC07436,30.96,927.5
NGC4668,30.96,1537.4
IC3292,30.967,655.1
NGC4528,30.967,1314.6
NGC4218,30.968,761.9
NGC4548,30.969,437.5
NGC4564,30.97,1079.1
ESO321-025,30.97,1963.7
IC3779,30.97,1120.5
NGC5364,30.97,1215.1
NGC4267,30.973,925.3
PGC042046,30.975,1360.1
NGC4379,30.975,1004.7
NGC4552,30.977,273.4
NGC4464,30.977,1198.4
NGC4468,30.977,840.9
UGC07854,30.978,913.7
UGC07557,30.979,861.1
IC3388,30.98,1655.5
NGC4595,30.984,592.1
NGC7314,30.988,1478.6
IC3517,30.993,380.1
NGC1255,30.993,1602.9
NGC4630,30.993,661.8
UGC07580,30.996,538.5
NGC4417,30.997,752.2
NGC3026,31,1430.1
UGC03257,31,2346.4
NGC4396,31,-159.8
IC0798,31,386.6
NGC4459,31.001,1137.1
ESO576-050,31.002,1858.6
IC0809,31.005,147
NGC7757,31.005,3081.1
NGC4356,31.007,1024
ESO091-016,31.009,1776.4
NGC7513,31.009,1595.9
UGC09206,31.01,2309
IC3470,31.01,1433.6
NGC2559,31.01,1339.5
NGC3686,31.01,1090.1
NGC5348,31.011,1425
ESO572-030,31.014,1624.7
NGC4321,31.014,1528.3
IC3652,31.014,578.3
PGC041180,31.015,1324.4
ESO380-008,31.02,1926.4
NGC1326A,31.021,1713.2
NGC1559,31.021,1117.2
IC3383,31.022,1754.4
NGC4754,31.023,1272.5
NGC4551,31.029,1149.6
PGC042160,31.03,995.4
IC3633,31.03,1916.9
PGC042442,31.03,1669
NGC4486B,31.034,1447.1
NGC4467,31.038,1322.6
IC3501,31.038,1567
NGC4578,31.039,2214.8
ESO358-015,31.04,1267.1
UGC02813,31.04,1535
NGC5879,31.043,912.7
NGC4544,31.046,1075.6
ESO362-011,31.047,1169.2
PGC040411,31.048,843
NGC3413,31.05,613.8
UGC11466,31.052,1046.5
